station_name,lat,long
San Carlos St at Market St,37.3307001009,-121.888977163
San Carlos St at Meridian Ave,37.3233446906,-121.913496852
San Fernando St at 4th St,37.3358848787,-121.885660094
San Fernando St at 7th St,37.3371221981,-121.883215143
San Francisco Caltrain Station - 4th St,37.7764570285,-122.394378109
San Francisco Caltrain Station - King St,37.7763117788,-122.394494363
San Francisco Caltrain Station - Townsend St,37.7766011041,-122.395281232
San Francisco City Hall,37.7788311417,-122.418158209
San Francisco Ferry Building,37.7953852749,-122.394203919
San Francisco Public Library,37.7787946599,-122.415960136
San Jose City Hall,37.337391487,-121.886995335
San Jose Diridon Station,37.3297319894,-121.901781982
San Pablo Ave at MLK Jr Way,37.8113477323,-122.27342058
San Pablo Park,37.855784789,-122.283127649
San Pedro Square,37.3368027414,-121.894090158
San Pedro St at Hedding St,37.352601,-121.905733
San Salvador St at 9th St,37.333955,-121.877349
Sanchez St at 15th St,37.7662202119,-122.431062957
Sanchez St at 17th St,37.7632472111,-122.430679428
Sanchez St at 24th St,37.7517151958,-122.429649666
Sansome St at Sutter St,37.790541694,-122.400601812
Santa Clara St at 7th St,37.3391450738,-121.884104527
Santa Clara St at Almaden Blvd,37.3339879014,-121.894901298
Scott St at California St,37.7880490231,-122.438811074
Scott St at Golden Gate Ave,37.7791173844,-122.436872925
Second St at Oak St,37.7928311623,-122.268276604
Shattuck Ave at 55th St,37.8403643,-122.2644881
Shattuck Ave at Hearst Ave,37.8736762146,-122.268487215
Shattuck Ave at Telegraph Ave,37.8335385137,-122.263693704
Skyport Dr at Technology Dr,37.3652362796,-121.91679277
Snow Park,37.8078064809,-122.264497829
Sonora Ave at 1st St,37.3640604623,-121.911731958
South Lake,37.7648749356,-122.500503996
South Park St at 2nd St,37.7823567216,-122.393129778
South Park St at 3rd St,37.7807645726,-122.394983189
South San Jose State,37.3203158211,-121.87009871
Spear St at Folsom St,37.7896228705,-122.390340196
Spruce St at California St,37.7865911071,-122.453416996
Stanford Ave at Hollis St,37.8384518344,-122.288640309
Stanyan St at Geary Blvd,37.780944917,-122.456302098
Steiner St at California St,37.7885640244,-122.43539945
Stockton Ave at Lenzen Ave,37.3367747628,-121.909148991
Stowe Lake,37.7709362777,-122.477116695
Sunol St at San Carlos St,37.3234507316,-121.905976458
Sutter St at Montgomery St,37.7900414456,-122.401983562
Sutter St at Taylor St,37.7887356146,-122.41215262
Taraval St at 22nd St,37.7430064769,-122.479355962
Taraval St at 27th Ave to 25th Ave,37.7426774467,-122.483421187
Taraval St: 41st St to 40th St,37.74208613,-122.498523733
Taylor St at 9th St,37.3530665656,-121.89194049
Taylor St at Columbus Ave,37.803302339,-122.414883704
Tehama St at 1st St,37.7880361852,-122.395628562
Telegraph Ave at 19th St,37.8087018148,-122.26992775
Telegraph Ave at 27th St,37.816073115,-122.2678864
Telegraph Ave at 49th St,37.83575,-122.262654
Telegraph Ave at 58th St,37.8444948418,-122.261353807
Telegraph Ave at Alcatraz Ave,37.8502162352,-122.260178314
Telegraph Ave at Ashby Ave,37.855954689,-122.259796424
Telegraph Ave at Carleton St,37.8623109851,-122.258801322
Terry Francois Blvd at Mission Bay Blvd N,37.7717648041,-122.386688841
Terry Francois Blvd at Warriors Way,37.7691035995,-122.386330521
The Alameda at Bush St,37.3319323,-121.9048882
The Embarcadero at Bryant St,37.7873312216,-122.388109672
The Embarcadero at Pier 38,37.7829366197,-122.387925168
The Embarcadero at Sansome St,37.8047709588,-122.403235704
