Geographic Area Name,Median income estimate
"Union Grove town, Alabama",25417
"Union Springs city, Alabama",20409
"Uniontown town, Alabama",16778
"Uriah CDP, Alabama",49737
"Valley city, Alabama",30060
"Valley Grande city, Alabama",32556
"Valley Head town, Alabama",40469
"Vance town, Alabama",37273
"Vandiver CDP, Alabama",25581
"Vernon city, Alabama",17389
"Vestavia Hills city, Alabama",49708
"Vina town, Alabama",22000
"Vincent town, Alabama",28776
"Vinegar Bend CDP, Alabama",27846
"Vredenburgh town, Alabama",11806
"Wadley town, Alabama",17330
"Waldo town, Alabama",19167
"Walnut Grove town, Alabama",20625
"Warrior city, Alabama",22862
"Waterloo town, Alabama",29000
"Waverly town, Alabama",33333
"Weaver city, Alabama",39732
"Webb town, Alabama",30000
"Wedowee town, Alabama",26368
"Weogufka CDP, Alabama",16109
"West Blocton town, Alabama",19235
"West End-Cobb Town CDP, Alabama",24167
"West Jefferson town, Alabama",22163
"Westover town, Alabama",43990
"West Point town, Alabama",37500
"Wetumpka city, Alabama",36758
"Whatley CDP, Alabama",-
"White Hall town, Alabama",29451
"White Plains CDP, Alabama",16762
"Whitesboro CDP, Alabama",30056
"Wilsonville town, Alabama",37364
"Wilton town, Alabama",23571
"Winfield city, Alabama",29878
"Woodland town, Alabama",32708
"Woodstock town, Alabama",30781
"Woodville town, Alabama",29643
"Yellow Bluff town, Alabama",11849
"York city, Alabama",24283
"Adak city, Alaska",34000
"Akhiok city, Alaska",40962
"Akiachak CDP, Alaska",12986
"Akiak city, Alaska",16452
"Akutan city, Alaska",35903
"Alakanuk city, Alaska",14145
"Alatna CDP, Alaska",36250
"Alcan Border CDP, Alaska",-
"Aleknagik city, Alaska",26875
"Aleneva CDP, Alaska",-
"Allakaket city, Alaska",-
"Ambler city, Alaska",16389
"Anaktuvuk Pass city, Alaska",27083
"Anchorage municipality, Alaska",47000
"Anchor Point CDP, Alaska",33789
"Anderson city, Alaska",32232
"Angoon city, Alaska",18958
"Aniak city, Alaska",36167
"Anvik city, Alaska",52500
"Arctic Village CDP, Alaska",-
"Atka city, Alaska",-
"Atmautluak CDP, Alaska",-
"Atqasuk city, Alaska",36563
"Attu Station CDP, Alaska",-
"Badger CDP, Alaska",51393
"Bear Creek CDP, Alaska",51225
"Beaver CDP, Alaska",28854
"Beluga CDP, Alaska",-
"Bethel city, Alaska",39043
"Bettles city, Alaska",-
"Big Delta CDP, Alaska",-
"Big Lake CDP, Alaska",38750
"Birch Creek CDP, Alaska",-
"Brevig Mission city, Alaska",13355
"Buckland city, Alaska",14417
"Buffalo Soapstone CDP, Alaska",36349
"Butte CDP, Alaska",48078
"Cantwell CDP, Alaska",25714
"Central CDP, Alaska",19605
"Chalkyitsik CDP, Alaska",27188
"Chase CDP, Alaska",-
"Chefornak city, Alaska",14044
"Chena Ridge CDP, Alaska",70173
"Chenega CDP, Alaska",-
"Chevak city, Alaska",24464
"Chickaloon CDP, Alaska",26914
"Chicken CDP, Alaska",-
"Chignik city, Alaska",30833
"Chignik Lagoon CDP, Alaska",25750
"Chignik Lake CDP, Alaska",23333
"Chiniak CDP, Alaska",-
"Chisana CDP, Alaska",-
"Chistochina CDP, Alaska",24000
"Chitina CDP, Alaska",-
"Chuathbaluk city, Alaska",17500
"Circle CDP, Alaska",32500
"Clam Gulch CDP, Alaska",42063
"Clark's Point city, Alaska",28750
"Coffman Cove city, Alaska",42500
"Cohoe CDP, Alaska",28594
"Cold Bay city, Alaska",61406
"Coldfoot CDP, Alaska",57788
"College CDP, Alaska",41962
"Cooper Landing CDP, Alaska",61289
"Copper Center CDP, Alaska",27708
"Cordova city, Alaska",45634
"Covenant Life CDP, Alaska",-
"Craig city, Alaska",44336
"Crooked Creek CDP, Alaska",-
"Crown Point CDP, Alaska",44038
"Deering city, Alaska",21875
"Delta Junction city, Alaska",36094
"Deltana CDP, Alaska",45788
"Denali Park CDP, Alaska",-
"Diamond Ridge CDP, Alaska",38750
"Dillingham city, Alaska",46950
"Diomede city, Alaska",-
"Dot Lake CDP, Alaska",-
"Dot Lake Village CDP, Alaska",-
"Dry Creek CDP, Alaska",21058
"Eagle city, Alaska",24444
"Eagle Village CDP, Alaska",32981
"Eareckson Station CDP, Alaska",93594
"Edna Bay city, Alaska",-
"Eek city, Alaska",11875
"Egegik city, Alaska",-
"Eielson AFB CDP, Alaska",38816
"Ekwok city, Alaska",21875
"Elfin Cove CDP, Alaska",-
"Elim city, Alaska",7125
"Emmonak city, Alaska",28824
"Ester CDP, Alaska",35057
"Eureka Roadhouse CDP, Alaska",-
"Evansville CDP, Alaska",-
"Excursion Inlet CDP, Alaska",-
"Fairbanks city, Alaska",38877
"False Pass city, Alaska",41750
"Farmers Loop CDP, Alaska",51180
"Farm Loop CDP, Alaska",47452
"Ferry CDP, Alaska",-
"Fishhook CDP, Alaska",38782
"Flat CDP, Alaska",-
"Fort Greely CDP, Alaska",38125
"Fort Yukon city, Alaska",30227
